0, 0.0, 5.7962875020736774e+19, 5.474462651760482e+19, 2.9288417001322557e+19,6.0619888192667586e-06,9.565169998453089e-08,-8.353457992543237e-09,6.061228375250748e-06,121.40078894652264,109.09993109969152,13.64999372776791
1, 4.7454637073808065e+19, 5.807378943440328e+19, 5.484904712700278e+19, 2.935497728966864e+19,6.061629711464315e-06,9.552754709433584e-08,-8.150562997942101e-09,6.060871456727647e-06,121.40157691569628,109.09986386890222,13.699987473222741
2, 4.746912347237527e+19, 5.819666109719107e+19, 5.4964781803185046e+19, 2.942690966978615e+19,6.061270609431126e-06,9.540350836248226e-08,-7.94764769228923e-09,6.0605145331268575e-06,121.40236390834609,109.09979830799755,13.749981236277115
3, 4.748360987094246e+19, 5.831787164130751e+19, 5.507899646371755e+19, 2.9497090282013905e+19,6.060911513398537e-06,9.527958318954612e-08,-7.744712225923892e-09,6.060157604692035e-06,121.40314992529238,109.09973441734175,13.799975016843744
4, 4.749809626950966e+19, 5.842240959089303e+19, 5.5177520589576765e+19, 2.9557702752621597e+19,6.06055242359821e-06,9.515577097625584e-08,-7.541756749221564e-09,6.0598006716671125e-06,121.40393496735064,109.09967219729792,13.849968814835425
5, 4.751258266807685e+19, 5.849510007318423e+19, 5.524600746614654e+19, 2.9600880459679932e+19,6.060193340262124e-06,9.503207112349115e-08,-7.3387814125933726e-09,6.059443734296305e-06,121.40471903533154,109.09961164822795,13.899962630165037
6, 4.7527069066644046e+19, 5.852210836452691e+19, 5.527136396511683e+19, 2.961949476612988e+19,6.059834263622569e-06,9.490848303228181e-08,-7.135786366486485e-09,6.059086792824108e-06,121.40550213004093,109.09955277049255,13.94995646274555
7, 4.754155546521124e+19, 5.849245463413009e+19, 5.524319908074445e+19, 2.9607948721465106e+19,6.059475193912151e-06,9.478500610380682e-08,-6.932771761383253e-09,6.0587298474952895e-06,121.40628425227982,109.09949556445127,13.999950312490016
8, 4.7556041863778435e+19, 5.851327864964746e+19, 5.526231911201075e+19, 2.9725359788817326e+19,6.05911613136378e-06,9.46616397393933e-08,-6.7297377478009855e-09,6.058372898554898e-06,121.40706540284441,109.09944003046247,14.049944179311572
9, 4.757052826234563e+19, 5.8479934559543755e+19, 5.523054705019818e+19, 2.9712183943660384e+19,6.05859433685448e-06,9.426078087775521e-08,-6.5920537960890026e-09,6.057857442081337e-06,121.40784331250164,109.0993856279606,14.099938097911068
10, 4.7585014660912824e+19, 5.840292301350434e+19, 5.515757328417698e+19, 2.9677728434824622e+19,6.058072455552073e-06,9.385978191294784e-08,-6.454360261056812e-09,6.057341872413311e-06,121.40861797954798,109.09933235721888,14.149932068079433
11, 4.759950105948003e+19, 5.829625533336653e+19, 5.505666258119995e+19, 2.9629201907249877e+19,6.057550648957469e-06,9.345891812158111e-08,-6.3165923110820905e-09,6.056826346856097e-06,121.40938940453093,109.09928021904723,14.199926089573076
12, 4.761398745804722e+19, 5.8174839661059555e+19, 5.494190623625347e+19, 2.957422205623265e+19,6.057028916617193e-06,9.305818858219016e-08,-6.178750183106244e-09,6.0563108649838e-06,121.4101575879907,109.09922921425373,14.249920162148564
13, 4.762847385661442e+19, 5.805311051635441e+19, 5.4826919307460256e+19, 2.952011037155431e+19,6.056507258077987e-06,9.265759237318516e-08,-6.0408341140687625e-09,6.055795426370524e-06,121.41092253046021,109.09917934364466,14.299914285562629
14, 4.764296025518161e+19, 5.794395878392535e+19, 5.4723833357939e+19, 2.947334833260132e+19,6.055985672886813e-06,9.225712857285054e-08,-5.90284434090686e-09,6.055280030590371e-06,121.4116842324651,109.09913060802457,14.349908459572157
15, 4.7657446653748806e+19, 5.785797801701943e+19, 5.464259632347271e+19, 2.9439200592687157e+19,6.055464160590837e-06,9.185679625934411e-08,-5.764781100555633e-09,6.054764677217433e-06,121.41244269452369,109.09908300819615,14.399902683934197
16, 4.7671933052316e+19, 5.780296402144265e+19, 5.459051470383613e+19, 2.942146988553426e+19,6.05494272073745e-06,9.145659451069613e-08,-5.6266446299481805e-09,6.0542493658258036e-06,121.413197917147,109.09903654496033,14.449896958405951
17, 4.76864194508832e+19, 5.7783598168977465e+19, 5.457196788761807e+19, 2.9422345729583313e+19,6.054421352874253e-06,9.105652240480806e-08,-5.4884351660160015e-09,6.053734095989571e-06,121.41394990083873,109.09899121911624,14.499891282744771
18, 4.77009058494504e+19, 5.780126990730071e+19, 5.4588249758339334e+19, 2.944232274992345e+19,6.053900056549069e-06,9.06565790194522e-08,-5.350152945688593e-09,6.053218867282824e-06,121.41469864609527,109.09894703146121,14.549885656708168
19, 4.771539224801759e+19, 5.78540216367527e+19, 5.4637520388082926e+19, 2.9480179395013157e+19,6.053378831309928e-06,9.025676343227011e-08,-5.211798205894223e-09,6.0527036792796445e-06,121.41544415340572,109.09890398279077,14.599880080053799
20, 4.7729878646584795e+19, 5.793662005426187e+19, 5.471487137443954e+19, 2.9533019132373774e+19,6.052857676705082e-06,8.985707472077191e-08,-5.073371183559493e-09,6.052188531554111e-06,121.4161864232518,109.09886207389869,14.649874552539469
21, 4.7744365045152e+19, 5.804077378444624e+19, 5.481252395234738e+19, 2.959638483663623e+19,6.052336592282994e-06,8.94575119623355e-08,-4.9348721156096465e-09,6.051673423680299e-06,121.41692545610795,109.09882130557689,14.699869073923132
22, 4.77588514437192e+19, 5.815553098955861e+19, 5.492019300867419e+19, 2.9664464915119567e+19,6.0518155775923415e-06,8.905807423420542e-08,-4.796301238968731e-09,6.051158355232281e-06,121.41766125244123,109.09878167861555,14.749863643962886
